resource_id,resource_name,acronym,resource_type,description,homepage_url,thematic_domains,data_product_types,data_formats,geographic_coverage,spatial_resolution,temporal_coverage,temporal_resolution,data_sources,free_download,access_conditions,api_available,license,institutional_status,owner_or_manager,last_verified,notes
DR0001,Plataforma Mineira para Adaptação às Mudanças Climáticas,Clima Gerais,platform,Indicadores territoriais de vulnerabilidade e adaptação climática em Minas Gerais.,https://clima-gerais.meioambiente.mg.gov.br/,clima | mudanças climáticas | vulnerabilidade,mapas | indicadores | visualizações,visualização web | varia conforme o produto,estadual — Minas Gerais,varia conforme o indicador,varia conforme o indicador,varia conforme o indicador,dados governamentais | indicadores compostos,parcial,aberto,desconhecido,não localizada,público,Governo de Minas Gerais / SEMAD-MG,2026-07-18,Voltado principalmente à consulta territorial; conferir possibilidade de download por indicador.
DR0002,Infraestrutura de Dados Espaciais do Sistema Estadual de Meio Ambiente e Recursos Hídricos,IDE-SISEMA,catalog,Catálogo e visualizador de camadas ambientais e territoriais de Minas Gerais.,https://idesisema.meioambiente.mg.gov.br/,meio ambiente | recursos hídricos | vegetação | uso da terra,camadas geoespaciais | mapas | metadados,WMS | WFS | formatos geoespaciais variados,estadual — Minas Gerais,varia conforme a camada,varia conforme a camada,varia conforme a camada,órgãos estaduais | levantamentos | sensoriamento remoto,sim,aberto,sim,varia conforme a camada,público,SISEMA / Governo de Minas Gerais,2026-07-18,API registrada como serviços OGC e catálogo GeoNetwork; não confundir com API REST.
DR0003,AdaptaBrasil MCTI,AdaptaBrasil,information_system,Sistema de informações sobre riscos de impactos das mudanças climáticas no Brasil.,https://adaptabrasil.mcti.gov.br/,clima | mudanças climáticas | risco | adaptação,indicadores | mapas | séries | relatórios,visualização web | tabelas | varia conforme o produto,nacional — Brasil,varia conforme o indicador,presente e cenários futuros; varia conforme o indicador,varia conforme o indicador,modelos climáticos | dados socioambientais | indicadores compostos,parcial,aberto,desconhecido,não localizada,público,MCTI / INPE,2026-07-18,Distinguir dados primários dos indicadores derivados apresentados pelo sistema.
DR0004,Sistema de Registro Nacional de Emissões,SIRENE,information_system,Sistema oficial brasileiro de informações sobre emissões e remoções de gases de efeito estufa.,https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/sirene,carbono | emissões | mudanças climáticas,inventários | tabelas | gráficos | séries temporais,XLSX | CSV | PDF | visualização web; varia conforme o produto,nacional — Brasil,nacional e setores; varia conforme o produto,1990 em diante; varia conforme a edição,anual ou plurianual,inventários nacionais | estatísticas setoriais | modelos,sim,aberto,desconhecido,dados públicos; licença específica não localizada,público,MCTI,2026-07-18,Cobertura exata depende do inventário e da atualização nacional.
DR0005,Centro Nacional de Monitoramento e Alertas de Desastres Naturais,CEMADEN,monitoring_system,"Monitoramento e alertas de riscos hidrológicos, geológicos e de seca no Brasil.",https://www.gov.br/cemaden/pt-br,clima | hidrologia | desastres | seca,alertas | mapas | séries de estações | relatórios,CSV | mapas | PDF | serviços web; varia conforme o produto,nacional — Brasil,estações e grades; varia conforme o produto,varia conforme a rede e o produto,subdiária | diária | mensal; varia,estações automáticas | radar | satélite | modelos,parcial,aberto | alguns dados mediante solicitação,desconhecido,não localizada,público,CEMADEN / MCTI,2026-07-18,Nem todo conteúdo exibido no portal está disponível como conjunto para download.
DR0006,PANORAMA — Infraestrutura de Dados Espaciais do CENSIPAM,PANORAMA,platform,"Visualização e monitoramento territorial da Amazônia, incluindo fogo, hidrologia e meteorologia.",https://panorama.sipam.gov.br/,fogo | clima | hidrologia | Amazônia,mapas | alertas | indicadores | séries,visualização web | formatos variados,regional — Amazônia,varia conforme o produto,varia conforme o produto,quase em tempo real a periódica,satélite | estações | modelos | dados governamentais,parcial,aberto,desconhecido,não localizada,público,CENSIPAM / Ministério da Defesa,2026-07-18,Registrar separadamente produtos específicos caso sejam usados com frequência.
DR0007,UrbVerde,UrbVerde,platform,"Plataforma de indicadores socioambientais urbanos, vegetação e temperatura de superfície.",https://urbverde.iau.usp.br/,vegetação | urbanização | clima urbano | uso da terra,mapas | indicadores | relatórios municipais,visualização web | PDF | formatos variados,municipal e nacional — Brasil,varia conforme o indicador,varia conforme o indicador,varia conforme o indicador,sensoriamento remoto | dados censitários | modelos,parcial,aberto,não,não localizada,acadêmico,IAU / Universidade de São Paulo,2026-07-18,API pública não localizada; verificar downloads em cada módulo.
DR0008,Portal Brasileiro de Dados Abertos,dados.gov.br,catalog,Catálogo central de conjuntos de dados publicados por órgãos públicos brasileiros.,https://dados.gov.br/,multitemático | meio ambiente | clima | biodiversidade,metadados | datasets | links para serviços,CSV | JSON | XML | XLSX | formatos variados,nacional — Brasil,varia conforme o conjunto,varia conforme o conjunto,varia conforme o conjunto,órgãos públicos brasileiros,sim,aberto,sim,varia conforme o conjunto,público,Governo Federal do Brasil,2026-07-18,"É um catálogo: qualidade, licença e atualização dependem do órgão publicador."
DR0009,Global Biodiversity Information Facility,GBIF,data_service,"Infraestrutura global de acesso a registros de ocorrência, taxonomia e datasets de biodiversidade.",https://www.gbif.org/,biodiversidade | espécies | taxonomia,ocorrências | checklists | eventos de amostragem | metadados,Darwin Core Archive | CSV | JSON,global,ponto de ocorrência; varia conforme o dataset,histórica ao presente; varia conforme o dataset,evento a séries; varia,coleções | literatura | ciência cidadã | monitoramento,sim,aberto | cadastro para downloads processados,sim,varia por dataset; metadados abertos,consórcio,GBIF Secretariat e rede de participantes,2026-07-18,Verificar licença no nível do dataset; dados agregados possuem qualidade heterogênea.
DR0010,MapBiomas Brasil,MapBiomas,platform,Mapeamento anual da cobertura e uso da terra e produtos ambientais derivados para o Brasil.,https://brasil.mapbiomas.org/,uso da terra | vegetação | fogo | água | solo | carbono,mapas raster | estatísticas | alertas | séries anuais,GeoTIFF | CSV | assets Google Earth Engine,nacional — Brasil,principalmente 30 m; varia conforme a coleção,1985 ao presente; varia conforme o produto,anual | mensal; varia,Landsat | Sentinel | modelos | validação amostral,sim,aberto | atribuição requerida,sim,licença MapBiomas; consultar produto,consórcio,Rede MapBiomas,2026-07-18,Acesso programático inclui Google Earth Engine; resolução e período mudam por produto.
DR0011,TerraBrasilis,TerraBrasilis,portal,Portal de acesso a dados de monitoramento da vegetação nativa produzidos pelo INPE.,https://terrabrasilis.dpi.inpe.br/,desmatamento | vegetação | uso da terra | Amazônia | Cerrado,mapas | alertas | estatísticas | dados vetoriais,Shapefile | CSV | GeoJSON | serviços OGC; varia,"nacional — Brasil, com foco Amazônia e Cerrado","varia conforme PRODES, DETER e demais produtos",varia conforme o programa,diária a anual; varia,sensoriamento remoto | interpretação e modelagem INPE,sim,aberto,sim,licenças e termos do INPE,público,INPE / MCTI,2026-07-18,"PRODES e DETER têm finalidades, resolução e periodicidade diferentes."
DR0012,Programa Queimadas / Banco de Dados de Queimadas,BDQueimadas,monitoring_system,"Monitoramento operacional de focos de calor, risco de fogo e áreas queimadas.",https://queimadas.dgi.inpe.br/queimadas/portal,fogo | vegetação | clima,focos de calor | risco de fogo | mapas | séries,CSV | KML | Shapefile | mapas,Brasil e América do Sul; produtos globais selecionados,varia conforme o satélite e produto,histórica ao presente; varia,subdiária | diária | mensal,satélites meteorológicos e de observação da Terra | modelos,sim,aberto,desconhecido,termos do INPE,público,INPE / MCTI,2026-07-18,Foco de calor não equivale diretamente a área queimada.
DR0013,speciesLink,speciesLink,database,"Rede de dados de coleções biológicas e registros de ocorrência, com foco no Brasil.",https://specieslink.net/,biodiversidade | espécies | coleções biológicas,ocorrências | registros de coleção | mapas | indicadores,CSV | Darwin Core; varia conforme a ferramenta,Brasil e América do Sul,ponto de ocorrência; precisão variável,histórica ao presente,por registro,coleções científicas | universidades | museus,sim,aberto,sim,varia conforme a coleção,consórcio acadêmico,CRIA e rede de coleções,2026-07-18,Restrições e qualidade devem ser verificadas por coleção e registro.
DR0014,Sistema de Informação sobre a Biodiversidade Brasileira,SiBBr,information_system,Infraestrutura nacional para integração e acesso a dados sobre biodiversidade brasileira.,https://www.sibbr.gov.br/,biodiversidade | espécies | ecossistemas,ocorrências | datasets | metadados | indicadores,Darwin Core | CSV | formatos variados,nacional — Brasil,varia conforme o dataset,varia conforme o dataset,varia conforme o dataset,coleções | pesquisa | monitoramento | órgãos públicos,sim,aberto,desconhecido,varia conforme o dataset,público,MCTI / Governo Federal,2026-07-18,Parte dos dados também é publicada na rede GBIF.
DR0015,Banco de Dados e Informações Ambientais,BDiA,database,"Base temática do IBGE sobre geologia, geomorfologia, pedologia e vegetação.",https://bdiaweb.ibge.gov.br/,solo | vegetação | geologia | geomorfologia,mapas | camadas | descrições | dados temáticos,Shapefile | GeoPackage | PDF | formatos variados,nacional — Brasil,varia conforme o tema e levantamento,levantamentos históricos e atuais; varia,não se aplica ou varia,levantamentos de campo | cartografia | sensoriamento remoto,sim,aberto,desconhecido,licença de uso dos dados do IBGE,público,IBGE,2026-07-18,"Registrar a escala cartográfica, não apenas o tamanho de pixel, quando o produto for vetorial."
DR0016,Cadastro Nacional de Unidades de Conservação,CNUC,database,Base oficial das unidades de conservação integrantes do Sistema Nacional de Unidades de Conservação.,https://cnuc.mma.gov.br/,áreas protegidas | conservação | biodiversidade,cadastros | polígonos | tabelas | painéis,CSV | Shapefile | visualização web; varia,nacional — Brasil,limites vetoriais; precisão variável,situação vigente e histórico parcial,atualização administrativa,cadastros de órgãos gestores,sim,aberto,desconhecido,dados públicos; termos específicos podem variar,público,MMA e órgãos gestores do SNUC,2026-07-18,Limites e situação cadastral devem ser associados à data de extração.
DR0017,Sistema Nacional de Informações sobre Recursos Hídricos / HidroWeb,SNIRH / HidroWeb,information_system,Acesso a estações e séries hidrometeorológicas brasileiras.,https://www.snirh.gov.br/hidroweb/,hidrologia | clima | recursos hídricos,séries de estações | inventário de estações | mapas,CSV | TXT | serviços web; varia,nacional — Brasil,ponto de estação e bacias,histórica ao presente; varia por estação,subdiária | diária | mensal,estações fluviométricas | pluviométricas | qualidade da água,sim,aberto,sim,dados públicos da ANA,público,Agência Nacional de Águas e Saneamento Básico,2026-07-18,"Verificar falhas, consistência e período efetivo de cada estação."
DR0018,Banco de Dados Meteorológicos do INMET,BDMEP,database,Séries históricas observacionais das estações meteorológicas do INMET.,https://bdmep.inmet.gov.br/,clima | meteorologia,séries de estações | tabelas,CSV,nacional — Brasil,ponto de estação,varia por estação,horária | diária | mensal; varia,estações meteorológicas convencionais e automáticas,sim,cadastro,não,termos do INMET,público,INMET,2026-07-18,Cobertura e completude variam entre estações e períodos.
DR0019,Google Earth Engine Data Catalog,GEE,platform,Catálogo e ambiente de processamento em nuvem para dados geoespaciais.,https://developers.google.com/earth-engine/datasets,sensoriamento remoto | clima | vegetação | solo | água,imagens | coleções raster e vetoriais | modelos derivados,assets Earth Engine | exportação GeoTIFF | CSV | TFRecord,global,varia conforme o dataset,varia conforme o dataset,varia conforme o dataset,agências espaciais | governos | pesquisa | provedores diversos,parcial,cadastro | uso não comercial conforme elegibilidade,sim,varia conforme o dataset,privado,Google e provedores dos datasets,2026-07-18,É plataforma e catálogo; não é a fonte original da maioria dos dados.
DR0020,Application for Extracting and Exploring Analysis Ready Samples,AppEEARS,data_service,"Serviço para extrair subconjuntos espaciais, temporais e por camada de produtos terrestres NASA.",https://appeears.earthdatacloud.nasa.gov/,sensoriamento remoto | vegetação | clima | superfície terrestre,subconjuntos raster | séries de pontos | estatísticas,GeoTIFF | NetCDF | CSV,global,varia conforme o produto NASA,varia conforme o produto,diária a anual; varia,MODIS | VIIRS | modelos e produtos NASA,sim,cadastro Earthdata,sim,política de dados abertos NASA,público,NASA LP DAAC,2026-07-18,Serviço de extração; citar também o produto NASA original utilizado.
DR0021,Copernicus Climate Data Store,CDS,data_service,"Catálogo e serviço de acesso a reanálises, observações e projeções climáticas.",https://cds.climate.copernicus.eu/,clima | mudanças climáticas | atmosfera | solo,reanálises | projeções | observações | indicadores,NetCDF | GRIB | ZIP; varia,global,varia conforme o dataset,"histórica, presente e projeções",horária a anual; varia,satélites | estações | reanálises | modelos climáticos,sim,cadastro,sim,licença Copernicus e licenças específicas,público internacional,Copernicus Climate Change Service / ECMWF,2026-07-18,"ERA5 é um dataset dentro deste serviço, não sinônimo do catálogo inteiro."
DR0022,WorldClim,WorldClim,database,Camadas climáticas globais de alta resolução para condições históricas e futuras.,https://www.worldclim.org/,clima | mudanças climáticas | bioclimatologia,climatologias | variáveis bioclimáticas | projeções,GeoTIFF,global terrestre,30 segundos de arco a 10 minutos; depende da versão,períodos climatológicos históricos e futuros,mensal | climatológica,estações | interpolação | modelos climáticos,sim,aberto,não,licença WorldClim; consultar versão,acadêmico,"WorldClim / University of California, Davis",2026-07-18,Não tratar climatologia de longo prazo como observação meteorológica diária.
DR0023,Climatologies at High Resolution for the Earth's Land Surface Areas,CHELSA,database,Climatologias e projeções climáticas globais com detalhamento topográfico.,https://chelsa-climate.org/,clima | mudanças climáticas | bioclimatologia,climatologias | variáveis bioclimáticas | projeções,GeoTIFF | NetCDF; varia,global terrestre,aproximadamente 1 km; varia conforme a versão,histórica e projeções,diária | mensal | climatológica; varia,modelos climáticos | downscaling | topografia,sim,aberto,não,licença específica por versão,acadêmico,CHELSA Climate,2026-07-18,"Versão, período e cenário climático devem ser registrados no uso."
DR0024,Protected Planet / World Database on Protected Areas,Protected Planet / WDPA,database,Base global de áreas protegidas e outras medidas de conservação baseadas em área.,https://www.protectedplanet.net/,áreas protegidas | conservação | biodiversidade,polígonos | pontos | atributos | indicadores,Shapefile | CSV | File Geodatabase,global,geometrias vetoriais; precisão variável,situação corrente e versões periódicas,mensal,governos | organizações internacionais | gestores de áreas,sim,cadastro | termos de uso,desconhecido,termos de uso UNEP-WCMC,consórcio internacional,UNEP-WCMC / IUCN,2026-07-18,Redistribuição possui condições específicas; registrar a versão mensal utilizada.
